no	champ	role	lane	skill	nickname	describe
40	블라디미르	마법사, 탱커	미드, 탑	치유, 둔화	Vladimir, The Crimson Reaper	블라디미르는 마법형 챔피언으로 피를 다루는 능력이 있습니다. 상대의 체력을 흡수할 수 있기 때문에 라인을 쉽게 유지하며 짧을 쿨타임을 이용하여 상대를 계속 견제할 수 있습니다. 웅덩이를 이용하여 상대의 공격을 피할 수 있고 체력과 주문력이 함께 상승하는 특징을 가지고 있습니다.
41	블리츠크랭크	탱커, 전사	서포터	띄우기, 보호막, 침묵	Blitzcrank, The Great Steam Golem	블리츠크랭크는 다양한 방향으로 운용할 수 있는 챔피언입니다. 먼 거리에서 상대방 한 명을 끌어와 일발역전의 상황을 만들어냅니다. 이동속도가 늘어나거나 적을 띄우는 등 직접적인 공격 능력은 아니지만 상황에 맞춰 유용하게 사용할 수 있는 스킬을 가지고 있습니다. 로켓 손을 얼마나 잘 사용하는가에 따라 평가가 갈리는 챔피언입니다.
42	빅토르	마법사	탑, 미드, 봇	보호막, 침묵, 기절, 둔화, 띄우기	Viktor, The Machine Herald Revealed	빅토르는 마법사 챔피언으로 강력한 마법 공격과 여러 상황에 유용한 스킬들을 보유하고 있습니다.고유 아이템을 업그레이드해서 기술을 강화시키는 독특한 시스템으로 다양한 성장이 가능한 챔피언입니다. 일부 스킬은 이동 중 사용도 가능하며, 궁극기를 추가 조작할 수 있습니다. 초반 성장이 어렵지만 성장 포텐셜이 높은 챔피언에 속합니다.
43	뽀삐	전사	탑, 정글, 서포터	밀치기, 기절, 보호막, 둔화, 띄우기	Poppy, Keeper of the Hammer	뽀삐는 아군을 지키는 것에 특화된 근접 탱커 챔피언입니다. 튼튼한 맷집을 가지고 있어, 파티의 최전방을 담당합니다. W스킬을 활용하여 상대의 돌진을 막아낼 수도 있고, 궁극기를 통해 상대를 전투에서 잠시 이탈시키는 것도 가능합니다. '벽꿍'을 활용한 스턴도 갖추고 있어, 유틸성이 높은 탱커입니다.
44	사이온	전사	탑, 서포터	보호막, 기절, 둔화, 띄우기	Sion, The Undead Champion	사이온은 근거리 전사임에도 불구하고 학살자의 포효로 미니언을 맞춰 먼 거리에 있는 적을 견제할 수 있습니다. 학살자의 포효를 맞춘 뒤 영혼의 용광로 - 대량 학살 강타로 이어지는 콤보는 적을 위축시키기 충분합니다. 궁극기 멈출 수 없는 맹공으로 적에게 진형 파괴를 강제하고, 광역 CC를 넣어 이니시에이팅이 가능합니다.
45	사일러스	마법사	탑, 미드, 정글	기절, 보호막, 치유	Sylas, the Unshackled	사일러스는 독특한 궁극기를 보유한 챔피언입니다. 궁극기 '강탈'을 통해 상대방의 궁극기를 복사해와 상황에 맞춰 적의 궁극기를 활용할 수 있습니다. 복사하기에 좋은 궁극기와 그렇지 않은 궁극기를 파악하는 것도 중요합니다.
46	샤코	암살자	탑, 정글, 서포터	탈출, 공포, 둔화, 은신	Shaco, The Demon Jester샤코는 은신 급습 스킬을 가지고 있는 암습형 챔피언으로 기동력을 이용하여 라인을 유리하게 만드는 역할을 합니다. 은신 + 순간 이동 기술로 적을 급습하고 박스를 이용하여 상대를 공포 상태로 만드는 등 암습에 특화되어 있습니다.
47	세나	원거리, 서포터	봇, 서포터	치유, 보호막, 속박, 은신	Senna, the Redeemer	세나는 원거리 공격수와 서포터 역할을 겸하는 독특한 포지션의 챔피언입니다. 기본적으로 사거리가 긴 편으로 견제하기 좋고, '안개'를 흡수하여 대미지와 기본 사거리도 증가시킬 수 있습니다. 공격과 회복을 겸하는 스킬과 범위 속박, 은신 스킬을 잘 활용하는 것이 중요하며, 글로벌 궁극기로 아군에 기여할 수 있습니다.
48	세주아니	탱커, 전사	정글	띄우기, 탈출, 둔화, 기절	Sejuani, Fury of the North	세주아니는 다수의 군중 제어기를 보유한 전형적인 탱커로, 최전방에서 적의 플레이를 방해하면서 아군을 보호하는 역할을 합니다. 주로 정글러로 활용되며 스킬의 이동속도 감소량이 높아 라인 습격에도 탁월합니다. 뿐만 아니라 궁극기는 한 타 기여도도 높아 조합에 따라서는 전천후 활약도 가능합니다.
49	세트	전사, 탱커	탑, 미드, 정글, 서포터	띄우기, 치유, 보호막, 기절	Sett, The Boss	세트는 주먹을 이용한 강력한 공격이 가능한 챔피언입니다. 전투 지속력을 올려줄 수 있는 체력 회복과 보호막 효과를 이용해 지속적인 교전에서 강한 모습을 보입니다.
50	소나	서포터, 마법사	탑, 서포터	치유, 둔화, 기절, 보호막	Sona, The Maven of the Strings	소나는 서포터형 챔피언으로 아군을 회복시키고 각종 이로운 효과들을 부여하는 능력을 가지고 있습니다. 전투가 시작되면 회복 기술로 아군의 체력을 유지하고 궁극기를 사용하여 적을 봉쇄하는 역할을 하게 됩니다.
51	소라카	서포터, 마법사	탑, 서포터	치유, 침묵, 둔화, 속박	Soraka, The Starchild	소라카는 가장 기본적인 서포터 챔피언으로 아군의 체력을 치유하는데 특화된 챔피언입니다. 궁극기 '기원'은 모든 아군 챔피언을 거리에 상관없이 치유할 수 있습니다. 다만, 자신의 체력으로 아군을 치유하기 때문에 체력 관리가 중요하며, 적의 공격에 취약하므로 주의를 요합니다.
52	쉔	탱커, 전사	탑, 서포터	치유, 탈출, 보호막, 도발	Shen, The Eye of Twilight	쉔은 높은 체력과 도발로 아군을 보호하는 탱커 챔피언입니다. 쉔은 마나가 아닌 기력을 소모하는 챔피언으로 아군 라인을 유지하거나 도발을 사용하여 상대를 묶어둘 수 있습니다. 궁극기를 사용하여 체력 소모가 심한 아군을 구출하고 상황을 반전시키는 능력을 가지고 있습니다.
53	쉬바나	전사, 탱커	탑, 정글	탈출, 밀치기	Shyvana, The Half-Dragon	쉬바나는 지속전투에 능한 탱커형 딜링 챔피언으로 용으로 변하여 순간적인 화력을 늘릴 수 있습니다. 레벨 6이되면 분노 게이지가 생기게 되고 쿨타임에 상관없이 분노 게이지가 다 차게 되면 용의 형상으로 변신할 수 있습니다. 빠른 사냥 속도로 정글 플레이도 가능합니다.
54	스웨인	마법사, 전사	탑, 미드, 서포터	치유, 둔화, 속박	Swain, The Master Tactician	스웨인은 궁극기를 사용한 순간 크게 강력해지는 챔피언입니다. 차분히 패시브 스텍을 쌓아두었다가 최대 상태로 궁극기를 사용하면 다수의 챔피언을 상대로도 승리할 수 있습니다. 아군의 CC에 반응하여 적을 끌어 오는 등, 다양한 활용이 가능합니다.
55	스카너	전사, 탱커	정글	보호막, 둔화, 제압, 기절	Skarner, The Crystal Vanguard	스카너는 딜탱형 챔피언으로 적 진형을 부수는 역할을 합니다. 상대방을 강제로 끌어와서 전투를 유리하게 시작할 수 있게 만드는 능력으로 팀에 기여하게 됩니다. 적에게 빠르게 접근하여 적군 한명을 확실하게 봉쇄합니다. 주로 정글에서 적을 급습하는 플레이를 하게 됩니다.
56	시비르	원거리	봇	보호막	Sivir, The Battle Mistress	시비르는 원거리 물리 챔피언으로 강력한 미니언 파밍 능력과 라인을 밀어내는 능력이 탁월한 챔피언입니다. 부메랑 검으로 같은 라인의 챔피언을 견제하면서 주문 방어막을 이용하여 적의 견제를 회피할 수 있습니다. 백도어 플레이나 라인 밀어내기를 손쉽게 할 수 있습니다.
57	신 짜오	전사, 암살자	정글, 미드	띄우기, 치유, 둔화, 밀치기, 기절	Xin Zhao, The Seneschal of Demacia	신 짜오는 딜링과 탱킹을 동시해 하는 근접 챔피언입니다. 상대 진영에 돌격해 가지고 있는 기술을 모두 사용하여 최대한 상대방의 체력을 깎아내는 것이 신 짜오의 역할입니다. 빠른 공격 속도와 급습 능력, 지속 회복 능력이 있기 때문에 정글러로 선택되기도 합니다.
58	신드라	마법사	미드, 봇	기절, 둔화, 밀치기	Syndra, the Dark Sovereign	신드라는 강력한 누킹형 마법사로 어둠 구체 스킬의 숙련도가 중요한 챔피언입니다. 소환한 어둠 구체나 적 유닛을 집어서 던질수 있고 구체를 밀어서 스턴을 걸 수도 있습니다. 또한, 궁극기를 이용해 단일 대상에게 누킹 대미지를 줄수도 있습니다. 움직이면서 긴 사거리의 스킬을 사용하기 때문에 견제 플레이에도 용이합니다.
